filename,seed,sample_size,points_per_cluster,strata,cluster,r2
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_1.pkl,1,1000,10,state,district,0.16028336944099975
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_1213.pkl,1213,1000,10,state,district,0.08753144026442627
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_123.pkl,123,1000,10,state,district,-2.782516512227862
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_1234.pkl,1234,1000,10,state,district,0.23870030960912725
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_1415.pkl,1415,1000,10,state,district,0.25465070411444457
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_42.pkl,42,1000,10,state,district,-1.4639495813582841
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_456.pkl,456,1000,10,state,district,-0.19448656842162992
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_5678.pkl,5678,1000,10,state,district,0.20940093066656473
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_789.pkl,789,1000,10,state,district,0.1807467698993197
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_9101.pkl,9101,1000,10,state,district,0.11469833994665712
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_1.pkl,1,100,10,state,district,-0.01812367908033985
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_1213.pkl,1213,100,10,state,district,-2.2865061084848946
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_123.pkl,123,100,10,state,district,-2.0990121044009564
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_1234.pkl,1234,100,10,state,district,-2.173312223293974
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_1415.pkl,1415,100,10,state,district,-2.140790628456756
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_42.pkl,42,100,10,state,district,-0.2397719415870292
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_456.pkl,456,100,10,state,district,-4.192263095366634
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_5678.pkl,5678,100,10,state,district,0.11838284342560057
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_789.pkl,789,100,10,state,district,-0.46109237091307187
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_9101.pkl,9101,100,10,state,district,-0.03867452967591323
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_1.pkl,1,200,10,state,district,0.008326566110764433
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_1213.pkl,1213,200,10,state,district,-0.3196982045258734
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_123.pkl,123,200,10,state,district,-0.29471766419194334
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_1234.pkl,1234,200,10,state,district,-0.07774362170508442
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_1415.pkl,1415,200,10,state,district,-0.9682250662589382
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_42.pkl,42,200,10,state,district,-0.24503575997752414
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_456.pkl,456,200,10,state,district,-0.5821839684883143
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_5678.pkl,5678,200,10,state,district,0.10477258305968618
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_789.pkl,789,200,10,state,district,-0.05679997938833514
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_9101.pkl,9101,200,10,state,district,0.06463846805658757
IDs_state_strata_district_clusters_10_points_per_cluster_300_size_seed_1.pkl,1,300,10,state,district,0.11494633400565901
