label,size_of_subset,Test R2,Cost
population,270.0,0.1038159014934329,239838.33700561523
population,540.0,0.2493365488014288,464955.92710113525
population,2715.0,0.5260329637864345,2448525.7786636353
population,5430.0,0.5793673398531354,4485704.915184021
population,10865.0,0.6336980380815862,8252347.822898865
population,19020.0,0.6722188650690666,14715817.288711548
population,27170.0,0.7031889042599029,21867971.025512695
population,40755.0,0.728715908687724,34569505.7354126
population,54340.0,0.7360931298068872,45652510.01092529
treecover,485.0,0.7139607910399756,432980.67253112793
treecover,975.0,0.7492716223664162,826020.1202926636
treecover,4890.0,0.8353846830043087,4385842.854125977
treecover,9785.0,0.8596216484872974,7892476.552238464
treecover,19575.0,0.8839191925282655,14710050.579933167
treecover,34255.0,0.8968996664530017,26731630.75175476
treecover,48935.0,0.9181008495556572,40806075.14064026
treecover,73405.0,0.9289191995816832,63844365.4100647
treecover,97875.0,0.9293247853995285,67972209.54241943
elevation,485.0,-0.3425233798385103,432980.67253112793
elevation,975.0,-0.2940174013783323,826020.1202926636
elevation,4890.0,0.1133883363135879,4385842.854125977
elevation,9785.0,0.4603646761252227,7892476.552238464
elevation,19575.0,0.6471226920552302,14710050.579933167
elevation,34255.0,0.7175889356746243,26731630.75175476
elevation,48935.0,0.7679206946098562,40806075.14064026
elevation,73405.0,0.803692156935869,63844365.4100647
elevation,97875.0,0.8060499876457881,67972209.54241943
