label,size_of_subset,Test R2,Cost
population,270.0,0.3942885585222463,270.0
population,540.0,0.4608421626657764,540.0
population,2715.0,0.5017375980304926,2715.0
population,5430.0,0.5614249141914196,5430.0
population,10865.0,0.5646459001077521,10865.0
population,19020.0,0.5910238432798625,1293744.0
population,27170.0,0.638389599952629,9443744.0
population,40755.0,0.7126468071636645,36616744.0
population,54340.0,0.7360931298068872,36616744.0
treecover,485.0,0.8226143258338325,55222102.0
treecover,975.0,0.8490101540228147,55222102.0
treecover,4890.0,0.8815676485484203,55222102.0
treecover,9785.0,0.8929489229373432,55222102.0
treecover,19575.0,0.8780861722588797,55222102.0
treecover,24465.0,0.8852897602830437,55222102.0
treecover,29360.0,0.8941336054780025,55222102.0
treecover,34255.0,0.899468727110895,55222102.0
treecover,48935.0,0.9149266189054004,55222102.0
treecover,73405.0,0.9284840849152164,55222102.0
treecover,97875.0,0.9293247853995285,55222102.0
elevation,485.0,0.3299520684276722,55222102.0
elevation,975.0,0.4417505247766899,55222102.0
elevation,4890.0,0.4812025815132642,55222102.0
elevation,9785.0,0.5218835146144807,55222102.0
elevation,19575.0,0.5712870282337648,55222102.0
elevation,24465.0,0.5839080099956546,55222102.0
elevation,29360.0,0.628503977330498,55222102.0
elevation,34255.0,0.6771666651243016,55222102.0
elevation,48935.0,0.7334892725493867,55222102.0
elevation,73405.0,0.8012976765358522,55222102.0
elevation,97875.0,0.8060499876457881,55222102.0
