label,size_of_subset,Test R2,Cost
population,270.0,0.513272928111798,222241.7293548584
population,540.0,0.5872569863262913,460250.36779022217
population,2715.0,0.6628650089367866,2265032.587738037
population,5430.0,0.6867943803128449,4557300.606391907
population,10865.0,0.7058582153606935,9172303.554382324
population,19020.0,0.7192068551515207,15966452.784347534
population,27170.0,0.7263463225497317,22804943.525405884
population,40755.0,0.7326288877474794,34291778.252090454
population,54340.0,0.7360931298068872,45652510.01092529
treecover,485.0,0.8179081881480279,418885.1078414917
treecover,975.0,0.8706979337362966,844110.4845275879
treecover,4890.0,0.9025944355044756,4226291.3371658325
treecover,9785.0,0.9116827994107756,8436579.259681702
treecover,19575.0,0.9174329357370145,17000813.438354492
treecover,34255.0,0.9244906787719116,29741619.23112488
treecover,48935.0,0.9272236353935918,42525277.753982544
treecover,73405.0,0.9290452368821958,63757600.13192749
treecover,97875.0,0.9293247853995285,67972209.54241943
elevation,485.0,0.5390364798697503,429998.4480438232
elevation,975.0,0.6181752545074279,866827.4495391846
elevation,4890.0,0.7202096649063315,4246898.89604187
elevation,9785.0,0.7439016525350353,8550225.388069153
elevation,19575.0,0.7730293707448437,17031471.11102295
elevation,34255.0,0.7941124010635369,29765648.527496334
elevation,48935.0,0.7981904060903253,42511270.22089386
elevation,73405.0,0.8049257358771451,63746868.508621216
elevation,97875.0,0.8060499876457881,67972209.54241943
