initial_set_str,sample_size,seed,r2
top20_urban_100_points,100,1,0.1696475991902071
top20_urban_100_points,100,5678,-0.33000031665203977
top20_urban_100_points,100,1213,-0.400255823409865
top20_urban_100_points,100,42,-0.3809688913121403
top20_urban_100_points,100,789,-0.44484324081732685
top20_urban_100_points,100,1415,-0.14468527835936862
top20_urban_100_points,100,123,0.0339751347603483
top20_urban_100_points,100,456,-0.09670061205371128
top20_urban_100_points,100,9101,-0.0031024788176388096
top20_urban_100_points,100,1234,-0.4087029376704219
top20_urban_300_points,300,1,0.1772627312389119
top20_urban_300_points,300,5678,0.04752884534975432
top20_urban_300_points,300,1213,0.02169046462091584
top20_urban_300_points,300,42,0.04046782542573979
top20_urban_300_points,300,789,-0.10248603689647795
top20_urban_300_points,300,1415,0.024562336199409618
top20_urban_300_points,300,123,0.13013761999826634
top20_urban_300_points,300,456,0.10004872358117178
top20_urban_300_points,300,9101,0.12073429353928511
top20_urban_300_points,300,1234,0.07403220139289346
top20_urban_200_points,200,1,0.20026534448407185
top20_urban_200_points,200,5678,-0.007014839020917485
top20_urban_200_points,200,1213,0.0164149383249651
top20_urban_200_points,200,42,0.15183301381906544
top20_urban_200_points,200,789,-0.18866608938948426
top20_urban_200_points,200,1415,0.006921958491436175
top20_urban_200_points,200,123,0.043501132774725226
top20_urban_200_points,200,456,0.08800305110307671
top20_urban_200_points,200,9101,-0.01312562228364289
top20_urban_200_points,200,1234,0.046143840288348614
