filename,seed,sample_size,points_per_cluster,strata,cluster,r2
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_1.pkl,1,1000,10,state,district,0.1602833694409997
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_1213.pkl,1213,1000,10,state,district,0.0875314402644262
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_123.pkl,123,1000,10,state,district,-2.782516512227862
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_1234.pkl,1234,1000,10,state,district,0.2387003096091272
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_1415.pkl,1415,1000,10,state,district,0.2546507041144445
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_42.pkl,42,1000,10,state,district,-1.463949581358284
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_456.pkl,456,1000,10,state,district,-0.1944865684216299
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_5678.pkl,5678,1000,10,state,district,0.2094009306665647
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_789.pkl,789,1000,10,state,district,0.1807467698993197
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_9101.pkl,9101,1000,10,state,district,0.1146983399466571
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_1.pkl,1,1000,10,state,district,0.1602833694409997
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_1213.pkl,1213,1000,10,state,district,0.0875314402644262
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_123.pkl,123,1000,10,state,district,-2.782516512227862
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_1234.pkl,1234,1000,10,state,district,0.2387003096091272
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_1415.pkl,1415,1000,10,state,district,0.2546507041144445
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_42.pkl,42,1000,10,state,district,-1.463949581358284
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_456.pkl,456,1000,10,state,district,-0.1944865684216299
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_5678.pkl,5678,1000,10,state,district,0.2094009306665647
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_789.pkl,789,1000,10,state,district,0.1807467698993197
IDs_state_strata_district_clusters_10_points_per_cluster_1000_size_seed_9101.pkl,9101,1000,10,state,district,0.1146983399466571
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_1.pkl,1,1000,25,state,district,0.0077902587112153
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_1213.pkl,1213,1000,25,state,district,0.0823281007828796
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_123.pkl,123,1000,25,state,district,-0.6514927951417078
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_1234.pkl,1234,1000,25,state,district,0.1211227846880209
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_1415.pkl,1415,1000,25,state,district,-0.3493741944765847
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_42.pkl,42,1000,25,state,district,0.0954726967937411
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_456.pkl,456,1000,25,state,district,-0.3296718924682664
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_5678.pkl,5678,1000,25,state,district,0.1408040708920824
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_789.pkl,789,1000,25,state,district,0.0221268401265913
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_9101.pkl,9101,1000,25,state,district,0.1508506177794345
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_1.pkl,1,1000,25,state,district,0.0077902587112153
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_1213.pkl,1213,1000,25,state,district,0.0823281007828796
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_123.pkl,123,1000,25,state,district,-0.6514927951417078
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_1234.pkl,1234,1000,25,state,district,0.1211227846880209
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_1415.pkl,1415,1000,25,state,district,-0.3493741944765847
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_42.pkl,42,1000,25,state,district,0.0954726967937411
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_456.pkl,456,1000,25,state,district,-0.3296718924682664
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_5678.pkl,5678,1000,25,state,district,0.1408040708920824
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_789.pkl,789,1000,25,state,district,0.0221268401265913
IDs_state_strata_district_clusters_25_points_per_cluster_1000_size_seed_9101.pkl,9101,1000,25,state,district,0.1508506177794345
IDs_state_strata_district_clusters_2_points_per_cluster_1000_size_seed_1.pkl,1,1000,2,state,district,0.2867049260721245
IDs_state_strata_district_clusters_2_points_per_cluster_1000_size_seed_1213.pkl,1213,1000,2,state,district,-0.0498665628822938
IDs_state_strata_district_clusters_2_points_per_cluster_1000_size_seed_123.pkl,123,1000,2,state,district,-0.4926929209606439
IDs_state_strata_district_clusters_2_points_per_cluster_1000_size_seed_1234.pkl,1234,1000,2,state,district,0.2369835242609753
IDs_state_strata_district_clusters_2_points_per_cluster_1000_size_seed_1415.pkl,1415,1000,2,state,district,0.2405551137572784
IDs_state_strata_district_clusters_2_points_per_cluster_1000_size_seed_42.pkl,42,1000,2,state,district,0.2279307504609052
IDs_state_strata_district_clusters_2_points_per_cluster_1000_size_seed_456.pkl,456,1000,2,state,district,0.2424436167461362
IDs_state_strata_district_clusters_2_points_per_cluster_1000_size_seed_5678.pkl,5678,1000,2,state,district,-0.0300227046298879
IDs_state_strata_district_clusters_2_points_per_cluster_1000_size_seed_789.pkl,789,1000,2,state,district,-0.2241477285813495
IDs_state_strata_district_clusters_2_points_per_cluster_1000_size_seed_9101.pkl,9101,1000,2,state,district,0.124164644718675
