filename,seed,sample_size,points_per_cluster,strata,cluster,r2
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_1.pkl,1,700,10,state,district,-0.3449096466885795
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_1213.pkl,1213,700,10,state,district,-0.015210609782015
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_123.pkl,123,700,10,state,district,0.0954760090249613
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_1234.pkl,1234,700,10,state,district,0.1611947191177787
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_1415.pkl,1415,700,10,state,district,0.1523971304674866
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_42.pkl,42,700,10,state,district,0.1620943319265744
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_456.pkl,456,700,10,state,district,0.0599062735922294
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_5678.pkl,5678,700,10,state,district,0.1561260868714891
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_789.pkl,789,700,10,state,district,0.1016089863853024
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_9101.pkl,9101,700,10,state,district,0.1441546865028083
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_1.pkl,1,700,10,state,district,-0.3449096466885795
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_1213.pkl,1213,700,10,state,district,-0.015210609782015
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_123.pkl,123,700,10,state,district,0.0954760090249613
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_1234.pkl,1234,700,10,state,district,0.1611947191177787
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_1415.pkl,1415,700,10,state,district,0.1523971304674866
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_42.pkl,42,700,10,state,district,0.1620943319265744
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_456.pkl,456,700,10,state,district,0.0599062735922294
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_5678.pkl,5678,700,10,state,district,0.1561260868714891
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_789.pkl,789,700,10,state,district,0.1016089863853024
IDs_state_strata_district_clusters_10_points_per_cluster_700_size_seed_9101.pkl,9101,700,10,state,district,0.1441546865028083
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_1.pkl,1,700,25,state,district,-0.2761155084200093
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_1213.pkl,1213,700,25,state,district,-0.02432800903605
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_123.pkl,123,700,25,state,district,-0.5791395224700053
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_1234.pkl,1234,700,25,state,district,0.0270381959415623
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_1415.pkl,1415,700,25,state,district,-0.5244682380094456
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_42.pkl,42,700,25,state,district,0.1137002940783796
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_456.pkl,456,700,25,state,district,-0.4579642312768106
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_5678.pkl,5678,700,25,state,district,-0.4290137955816056
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_789.pkl,789,700,25,state,district,-0.0488023119970482
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_9101.pkl,9101,700,25,state,district,0.0080725736642437
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_1.pkl,1,700,25,state,district,-0.2761155084200093
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_1213.pkl,1213,700,25,state,district,-0.02432800903605
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_123.pkl,123,700,25,state,district,-0.5791395224700053
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_1234.pkl,1234,700,25,state,district,0.0270381959415623
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_1415.pkl,1415,700,25,state,district,-0.5244682380094456
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_42.pkl,42,700,25,state,district,0.1137002940783796
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_456.pkl,456,700,25,state,district,-0.4579642312768106
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_5678.pkl,5678,700,25,state,district,-0.4290137955816056
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_789.pkl,789,700,25,state,district,-0.0488023119970482
IDs_state_strata_district_clusters_25_points_per_cluster_700_size_seed_9101.pkl,9101,700,25,state,district,0.0080725736642437
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_1.pkl,1,700,2,state,district,0.2156221014295974
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_1213.pkl,1213,700,2,state,district,0.0836027509789842
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_123.pkl,123,700,2,state,district,-0.0358420611960113
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_1234.pkl,1234,700,2,state,district,-0.005907566211416
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_1415.pkl,1415,700,2,state,district,0.1668061473099344
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_42.pkl,42,700,2,state,district,-0.039343917080894
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_456.pkl,456,700,2,state,district,0.1814879764384785
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_5678.pkl,5678,700,2,state,district,0.1958468739608183
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_789.pkl,789,700,2,state,district,0.0081027292731761
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_9101.pkl,9101,700,2,state,district,0.1188762557851983
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_1.pkl,1,700,2,state,district,0.2156221014295974
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_1213.pkl,1213,700,2,state,district,0.0836027509789842
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_123.pkl,123,700,2,state,district,-0.0358420611960113
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_1234.pkl,1234,700,2,state,district,-0.005907566211416
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_1415.pkl,1415,700,2,state,district,0.1668061473099344
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_42.pkl,42,700,2,state,district,-0.039343917080894
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_456.pkl,456,700,2,state,district,0.1814879764384785
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_5678.pkl,5678,700,2,state,district,0.1958468739608183
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_789.pkl,789,700,2,state,district,0.0081027292731761
IDs_state_strata_district_clusters_2_points_per_cluster_700_size_seed_9101.pkl,9101,700,2,state,district,0.1188762557851983
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_1.pkl,1,700,5,state,district,0.239617541363588
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_1213.pkl,1213,700,5,state,district,-1.5179682975474091
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_123.pkl,123,700,5,state,district,-0.1956983512039445
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_1234.pkl,1234,700,5,state,district,0.1036701311763147
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_1415.pkl,1415,700,5,state,district,0.189748392709336
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_42.pkl,42,700,5,state,district,-1.9026595221423657
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_456.pkl,456,700,5,state,district,-0.0640312913024943
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_5678.pkl,5678,700,5,state,district,0.0164084083172467
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_789.pkl,789,700,5,state,district,0.2060653202159451
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_9101.pkl,9101,700,5,state,district,-0.1034540908385526
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_1.pkl,1,700,5,state,district,0.239617541363588
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_1213.pkl,1213,700,5,state,district,-1.5179682975474091
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_123.pkl,123,700,5,state,district,-0.1956983512039445
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_1234.pkl,1234,700,5,state,district,0.1036701311763147
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_1415.pkl,1415,700,5,state,district,0.189748392709336
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_42.pkl,42,700,5,state,district,-1.9026595221423657
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_456.pkl,456,700,5,state,district,-0.0640312913024943
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_5678.pkl,5678,700,5,state,district,0.0164084083172467
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_789.pkl,789,700,5,state,district,0.2060653202159451
IDs_state_strata_district_clusters_5_points_per_cluster_700_size_seed_9101.pkl,9101,700,5,state,district,-0.1034540908385526
