filename,seed,sample_size,points_per_cluster,strata,cluster,r2
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_1.pkl,1,200,10,state,district,0.0083265661107644
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_1213.pkl,1213,200,10,state,district,-0.3196982045258734
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_123.pkl,123,200,10,state,district,-0.2947176641919433
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_1234.pkl,1234,200,10,state,district,-0.0777436217050844
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_1415.pkl,1415,200,10,state,district,-0.9682250662589382
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_42.pkl,42,200,10,state,district,-0.2450357599775241
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_456.pkl,456,200,10,state,district,-0.5821839684883143
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_5678.pkl,5678,200,10,state,district,0.1047725830596861
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_789.pkl,789,200,10,state,district,-0.0567999793883351
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_9101.pkl,9101,200,10,state,district,0.0646384680565875
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_1.pkl,1,200,10,state,district,0.0083265661107644
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_1213.pkl,1213,200,10,state,district,-0.3196982045258734
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_123.pkl,123,200,10,state,district,-0.2947176641919433
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_1234.pkl,1234,200,10,state,district,-0.0777436217050844
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_1415.pkl,1415,200,10,state,district,-0.9682250662589382
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_42.pkl,42,200,10,state,district,-0.2450357599775241
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_456.pkl,456,200,10,state,district,-0.5821839684883143
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_5678.pkl,5678,200,10,state,district,0.1047725830596861
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_789.pkl,789,200,10,state,district,-0.0567999793883351
IDs_state_strata_district_clusters_10_points_per_cluster_200_size_seed_9101.pkl,9101,200,10,state,district,0.0646384680565875
IDs_state_strata_district_clusters_25_points_per_cluster_200_size_seed_1.pkl,1,200,25,state,district,-1.0807735055463388
IDs_state_strata_district_clusters_25_points_per_cluster_200_size_seed_1213.pkl,1213,200,25,state,district,-0.9066321327749802
IDs_state_strata_district_clusters_25_points_per_cluster_200_size_seed_123.pkl,123,200,25,state,district,-0.5775080398538261
IDs_state_strata_district_clusters_25_points_per_cluster_200_size_seed_1234.pkl,1234,200,25,state,district,-0.5310001535341207
