filename,seed,sample_size,points_per_cluster,strata,cluster,r2
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_1.pkl,1,100,10,state,district,-0.0181236790803398
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_1213.pkl,1213,100,10,state,district,-2.2865061084848946
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_123.pkl,123,100,10,state,district,-2.0990121044009564
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_1234.pkl,1234,100,10,state,district,-2.173312223293974
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_1415.pkl,1415,100,10,state,district,-2.140790628456756
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_42.pkl,42,100,10,state,district,-0.2397719415870292
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_456.pkl,456,100,10,state,district,-4.192263095366634
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_5678.pkl,5678,100,10,state,district,0.1183828434256005
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_789.pkl,789,100,10,state,district,-0.4610923709130718
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_9101.pkl,9101,100,10,state,district,-0.0386745296759132
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_1.pkl,1,100,10,state,district,-0.0181236790803398
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_1213.pkl,1213,100,10,state,district,-2.2865061084848946
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_123.pkl,123,100,10,state,district,-2.0990121044009564
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_1234.pkl,1234,100,10,state,district,-2.173312223293974
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_1415.pkl,1415,100,10,state,district,-2.140790628456756
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_42.pkl,42,100,10,state,district,-0.2397719415870292
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_456.pkl,456,100,10,state,district,-4.192263095366634
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_5678.pkl,5678,100,10,state,district,0.1183828434256005
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_789.pkl,789,100,10,state,district,-0.4610923709130718
IDs_state_strata_district_clusters_10_points_per_cluster_100_size_seed_9101.pkl,9101,100,10,state,district,-0.0386745296759132
IDs_state_strata_district_clusters_25_points_per_cluster_100_size_seed_1.pkl,1,100,25,state,district,-0.242975169529142
IDs_state_strata_district_clusters_25_points_per_cluster_100_size_seed_1213.pkl,1213,100,25,state,district,-16.75643315505284
IDs_state_strata_district_clusters_25_points_per_cluster_100_size_seed_123.pkl,123,100,25,state,district,-40.08984668422067
IDs_state_strata_district_clusters_25_points_per_cluster_100_size_seed_1234.pkl,1234,100,25,state,district,-1.5164518794173647
IDs_state_strata_district_clusters_25_points_per_cluster_100_size_seed_1415.pkl,1415,100,25,state,district,-3.844475330028465
IDs_state_strata_district_clusters_25_points_per_cluster_100_size_seed_42.pkl,42,100,25,state,district,-1.911177723670612
IDs_state_strata_district_clusters_25_points_per_cluster_100_size_seed_456.pkl,456,100,25,state,district,-69.91120335359281
IDs_state_strata_district_clusters_25_points_per_cluster_100_size_seed_5678.pkl,5678,100,25,state,district,-43.07437932138223
IDs_state_strata_district_clusters_25_points_per_cluster_100_size_seed_789.pkl,789,100,25,state,district,-3.3049064515948547
IDs_state_strata_district_clusters_25_points_per_cluster_100_size_seed_9101.pkl,9101,100,25,state,district,-0.2323121229692635
