dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,poprisk_urban_rural_0.5_updated_r2_mean,poprisk_urban_rural_0.5_updated_r2_std
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,1000,0.25,0.0,0.26,0.01,0.29,0.01
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,1200,0.25,0.0,0.27,0.01,0.31,0.03
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,1400,0.25,0.0,0.27,0.01,0.34,0.02
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,1600,0.25,0.0,0.28,0.01,0.35,0.01
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,1800,0.25,0.0,0.28,0.01,0.34,0.01
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,2000,0.25,0.0,0.28,0.01,0.35,0.02
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,2200,0.25,0.0,0.28,0.01,0.33,0.05
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,2400,0.25,0.0,0.29,0.02,0.37,0.01
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,2600,0.25,0.0,0.29,0.01,0.37,0.03
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,2800,0.25,0.0,0.3,0.01,0.38,0.01
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,3000,0.25,0.0,0.31,0.01,0.39,0.01
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,4000,0.25,0.0,0.33,0.01,0.36,0.07
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_5000_size,cluster_based_c1_20_c2_30,5000,0.25,0.0,0.35,0.0,0.41,0.01
