dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,poprisk_urban_rural_0.5_updated_r2_mean,poprisk_urban_rural_0.5_updated_r2_std
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,1000,0.09,0.0,0.18,0.01,0.12,0.03
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,1200,0.09,0.0,0.2,0.01,0.12,0.03
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,1400,0.09,0.0,0.2,0.0,0.11,0.03
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,1600,0.09,0.0,0.21,0.01,0.11,0.03
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,1800,0.09,0.0,0.22,0.0,0.11,0.03
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,2000,0.09,0.0,0.23,0.0,0.12,0.03
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,2200,0.09,0.0,0.24,0.01,0.12,0.02
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,2400,0.09,0.0,0.25,0.02,0.13,0.02
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,2600,0.09,0.0,0.26,0.02,0.13,0.02
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,2800,0.09,0.0,0.27,0.02,0.13,0.02
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,3000,0.09,0.0,0.27,0.02,0.14,0.02
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,4000,0.09,0.0,0.3,0.01,0.15,0.02
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,convenience_based,5000,0.09,0.0,0.32,0.02,0.15,0.02
